Time,Sales,corn1,corn3,wheat1,wheat2,wheat3,wheat4,hay2,dairy6,BRLCS_broilers,STRTXOK_beef_steers,FarmIncome,HOUST,RealGDP,Unemploy,Interest_US,ConsumerInflt,30YearMtggRate,ConstructionEm,ConsumerConfidenceI,livestock1_broilers_isNA,livestock2_beef_steers_isNA,livestock3_steers_isNA,livestock4_steers_isNA,livestock5_hog_isNA,livestock6_hog_isNA,wheat5_isNA,dairy1_isNA,dairy2_isNA,dairy3_isNA,dairy4_isNA,dairy5_isNA,BRLCS_broilers_isNA,STRTXOK_beef_steers_isNA,Non-ResidentialInvest_isNA
1990-01-31,505,239.83,2.31,402.53,396.76,429.99,3.71,93.3,15.5,0.51,79.06,46.26,1551.0,8947.1,5.4,10.11,1.28,9.9,5.42,106.5,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1990-02-28,467,241.59,2.32,392.28,386.3,412.67,3.56,95.2,14.5,0.51,79.04,46.26,1437.0,8947.1,5.3,10.0,1.28,10.2,5.42,106.7,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1990-03-31,467,250.58,2.37,387.13,377.33,403.26,3.48,96.7,13.9,0.51,79.16,46.26,1289.0,8947.1,5.2,10.0,1.29,10.27,5.39,110.6,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1990-04-30,593,273.49,2.51,383.06,367.06,412.49,3.49,103.0,13.4,0.51,79.89,46.26,1248.0,8981.7,5.4,10.0,1.29,10.37,5.36,107.3,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1990-05-31,866,284.34,2.62,371.44,365.44,389.52,3.4,104.0,13.5,0.51,78.28,46.26,1212.0,8981.7,5.4,10.0,1.29,10.48,5.32,107.3,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1990-06-30,715,285.51,2.63,326.43,332.3,359.68,3.08,92.6,13.8,0.51,76.75,46.26,1177.0,8981.7,5.2,10.0,1.3,10.16,5.3,102.4,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1990-07-31,591,273.58,2.62,304.43,304.6,310.61,2.79,89.4,14.0,0.51,75.44,46.26,1171.0,8983.9,5.5,10.0,1.31,10.04,5.27,101.7,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1990-08-31,371,251.11,2.51,282.64,280.33,288.33,2.58,86.3,14.2,0.51,77.63,46.26,1115.0,8983.9,5.7,10.0,1.32,10.1,5.23,84.7,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1990-09-30,269,234.14,2.32,262.43,266.55,283.09,2.46,89.2,13.9,0.51,78.25,46.26,1110.0,8983.9,5.9,10.0,1.33,10.18,5.2,85.6,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1990-10-31,778,229.79,2.19,262.34,267.67,280.2,2.43,90.7,13.1,0.51,79.77,46.26,1014.0,8907.4,5.9,10.0,1.33,10.18,5.13,62.6,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1990-11-30,618,226.18,2.16,250.46,254.63,278.44,2.39,85.7,12.7,0.51,81.16,46.26,1145.0,8907.4,6.2,10.0,1.34,10.01,5.1,61.7,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1990-12-31,531,228.7,2.22,250.52,254.84,277.86,2.4,84.6,11.7,0.51,81.38,46.26,969.0,8907.4,6.3,10.0,1.34,9.67,5.05,61.2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1991-01-31,241,237.52,2.27,249.77,254.75,270.8,2.42,84.2,11.7,0.51,79.32,40.23,798.0,8865.6,6.4,9.52,1.35,9.64,4.97,55.1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1991-02-28,231,240.36,2.32,252.87,254.58,275.95,2.42,84.8,11.6,0.51,79.53,40.23,965.0,8865.6,6.6,9.05,1.35,9.37,4.93,59.4,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1991-03-31,506,248.33,2.39,275.58,276.18,293.94,2.53,85.9,11.4,0.51,80.96,40.23,921.0,8865.6,6.8,9.0,1.35,9.5,4.88,81.1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1991-04-30,703,255.55,2.42,279.7,282.08,297.97,2.6,90.1,11.3,0.52,80.73,40.23,1001.0,8934.4,6.7,9.0,1.35,9.49,4.84,79.4,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1991-05-31,765,243.63,2.38,283.37,284.98,302.64,2.65,86.5,11.3,0.52,78.2,40.23,996.0,8934.4,6.9,8.5,1.36,9.47,4.8,76.4,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1991-06-30,576,239.48,2.31,286.33,285.46,298.66,2.55,80.1,11.4,0.53,74.2,40.23,1036.0,8934.4,6.9,8.5,1.36,9.62,4.78,78.0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1991-07-31,297,238.82,2.27,277.85,272.58,290.9,2.5,75.4,11.8,0.54,72.36,40.23,1063.0,8977.3,6.8,8.5,1.36,9.58,4.75,77.7,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1991-08-31,319,249.42,2.33,297.26,297.15,310.2,2.63,74.0,12.4,0.54,67.18,40.23,1049.0,8977.3,6.9,8.5,1.37,9.24,4.73,76.1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
